title,publishedAt,viewCount,likeCount,commentCount
【ゆっくり実況】これだけで上位確実！？ヨッシーサーキットのロンキが強すぎた【マリオカート8DX】,2022-07-03T10:43:22Z,18298,420,170
[シャドウバース]疾走する攻撃力２２のゴールドシップ！！疾走ゴルシちゃんOTK！[ゆっくり実況],2022-04-05T11:02:08Z,86388,1355,241
[シャドウバース]1ターンに２０点バーン！爆炎の魔神OTK！[ゆっくり実況],2020-04-08T09:30:08Z,96805,906,259
[シャドウバース]攻撃力２０の疾走ビィ！！ビィ単体OTK！[ゆっくり実況],2021-03-27T12:00:13Z,56140,662,188
[シャドウバース]疾走する３体のヘクター！霊道ヘクターOTK！[ゆっくり実況],2020-02-08T12:00:26Z,77698,685,226
【ゆっくり実況】あなたは知ってた？実はパックンで食べられる意外なもの【マリオカート8DX】,2022-07-09T11:34:14Z,17181,457,155
[シャドウバース]一度に襲い来るコキュートス軍団！サタンジャバウォックOTK！[ゆっくり実況],2019-01-08T11:14:20Z,91178,676,92
[シャドウバース]体力最大値ー２０！！5連ゴッドオブカースOTK！[ゆっくり実況],2021-10-20T11:00:05Z,165641,1880,299
[シャドウバース]２人合わせてバハムート！怒れるファフニールOTK！[ゆっくり実況],2019-03-10T08:57:03Z,75224,530,121
[シャドウバース]天窮ワールドブレイクによって128回殴らないと倒せない絶対守護者と化したハルクドラゴニュート[ゆっくり実況],2021-04-25T10:20:08Z,360273,2940,293
[シャドウバース]３体除去からの疾走２０点！３連カヤOTK！[ゆっくり実況],2020-01-12T13:00:11Z,76522,684,179
[ゆっくり実況]チーミングの如く手助けしてくれる人と遭遇したけど完璧なバナナ設置に全てを破壊された[マリオカート8DX],2022-06-06T11:24:19Z,20239,522,106
[シャドウバース]スタッツ４倍アルティメット！クレイゴーレムパメラ！[ゆっくり実況],2019-08-27T10:11:19Z,68598,604,183
[シャドウバース]8コスト20点疾走と化したアンサージュ！！5連アンサージュOTK！[ゆっくり実況],2022-03-26T11:00:03Z,60410,861,138
[Shadowverse]開闢ドロシーが楽しすぎる！[ゆっくり実況],2018-09-29T11:03:50Z,60580,468,73
[シャドウバース]進化するだけで相手に16ダメージ！？リベルテレイナヴァンパイア！[ゆっくり実況],2019-04-24T10:28:45Z,130768,1542,214
[ゆっくり実況]わ、わかんないっピ[マリオカート8DX],2022-05-21T11:01:29Z,29514,641,136
[シャドウバース]レジーを５体並べて一斉バフ！！5連レジーOTK！[ゆっくり実況],2020-11-08T10:19:59Z,58626,809,279
[シャドウバース]超お祈りロマン砲！プルソン昏きルシフェルＯＴＫ！[ゆっくり実況],2019-06-11T10:50:59Z,89421,972,228
[シャドウバース]ダメージソースは紅蓮の凍結だけ！？紅蓮の凍結OTK！[ゆっくり実況],2021-05-04T11:00:01Z,100491,966,208
[シャドウバース]ワールドブレイクで昏き底より出でる者3体破壊して頭ワンドリOTK！[ゆっくり実況],2021-06-11T10:35:39Z,101341,1010,233
[シャドウバース]フォロワーは3種類だけ?ネフティス冥府OTK！[ゆっくり実況],2019-07-01T11:05:04Z,107961,1378,396
[シャドウバース]※欠陥構築注意！粛清の旧ベルフォメットOTK！[ゆっくり実況],2020-03-28T11:40:37Z,55355,605,189
[シャドウバース]攻撃力20のリノセウス！豪風のリノセウス単体OTK！[ゆっくり実況],2019-08-16T11:34:28Z,88527,884,221
[シャドウバース]攻撃力２０の疾走リンゴン！ベルエンジェルOTK！！[ゆっくり実況],2021-11-26T11:09:16Z,78610,1066,233
[シャドウバース]ソロモンの力で魔海の女王復活!?８ターン目アスタロトディースOTK！[ゆっくり実況],2019-05-29T11:30:40Z,65823,555,136
[シャドウバース]貫く咆哮5枚掛け！！貫くマルドゥークOTK！[ゆっくり実況],2021-10-25T10:36:45Z,89795,1052,216
[シャドウバース]０コススカルフェインでセラフ完成！！4連スカルフェインセラフOTK！[ゆっくり実況],2020-11-26T11:00:15Z,109453,1102,227
[シャドウバース]無限に相手の手札を破壊！！辺獄の悪鬼量産ドラゴン！[ゆっくり実況],2020-09-25T09:20:13Z,117772,1194,253
[シャドウバース]１コスト６点疾走！！３連新ルシフェルOTK！[ゆっくり実況],2020-12-19T12:00:01Z,59722,706,154
[シャドウバース]ミストリナ＆ベイリオンを５体出せば勝ち！！ミストリナ＆ベイリオン５連OTK！[ゆっくり実況],2021-07-27T11:00:16Z,58583,724,236
[シャドウバース]セッカだけで疾走２０点！！４連セッカOTK！[ゆっくり実況],2021-03-31T11:10:03Z,66679,734,293
[シャドウバース]6ターン目に69コストプレイ！？6ターン目ジンジャー開闢ウィッチ！[ゆっくり実況],2019-04-30T11:01:15Z,65472,631,165
[シャドウバース]０コストの特大疾走！！若き自由猫単体OTK！[ゆっくり実況],2021-02-23T11:15:23Z,91967,965,206
[シャドウバース]人形ラティカ、4ターン目にOTKしてしまう[ゆっくり実況],2022-03-01T10:40:41Z,57219,946,171
[シャドウバース]疾走する4体のアラミス！！銃士の誓い全員アラミスOTK！[ゆっくり実況],2022-01-16T10:43:01Z,78830,1064,181
[シャドウバース]オールレジェンドハイランダーネクロ！[ゆっくり実況],2018-10-17T09:44:38Z,61876,397,55
